Computer keyboard,电脑键盘,/m/01m2v,1191787
Chemistry,化学,/m/01lj9,1190155
Fever,发热,/m/0cjf0,1189677
Microsoft SQL Server,Microsoft SQL Server,/m/0120vr,1186510
Old age,老年,/m/01hbgs,1185500
Uniqlo,优衣库,/m/09jh8w,1182565
Paint,涂料,/m/05y4t,1182044
Heart,心脏,/m/095_n,1181131
Buffet,自助餐,/m/03vc65,1180748
Hero,英雄,/m/03kll,1179397
Chunghwa Post,中华邮政,/m/0dlm60,1176345
Soy milk,豆浆,/m/02dz6q,1175338
Silver,银,/m/025sf8x,1175095
Baidu Baike,百度百科,/m/0cqy0b,1174856
Actor,演员,/m/02hrh1q,1174167
Pizza Hut,必胜客,/m/09cfq,1172910
Fujian,福建省,/m/0m5pn,1170130
Head,头,/m/04hgtk,1168262
Society,社会,/m/098wr,1166637
Kyoto,京都市,/m/09d4_,1166127
Driver's license,驾驶证,/m/0cw2t,1165350
Powdered milk,奶粉,/m/03086h,1165232
Foshan,佛山市,/m/03_nyt,1164744
Shark,鲨鱼,/m/0by6g,1164472
.NET Framework,.NET框架,/m/0gdzk,1164120
DVD,数码多功能影音光盘,/m/029j_,1163953
Cathay Pacific,国泰航空,/m/013qmk,1163756
Common cold,普通感冒,/m/0n073,1162863
Sanchong District,三重区,/m/03sr6c,1162762
Mouth,口腔,/m/0283dt1,1158891
Language,语言,/m/04g7d,1157864
Devil,魔鬼,/m/02cr2,1155223
China Merchants Bank,招商银行,/m/02vy2cl,1149279
Zhejiang,浙江省,/m/0ny1p,1149162
Perfume,香水,/m/0p833,1149133
Curriculum vitae,简历,/m/07kgs9_,1148785
Hamburger,汉堡,/m/0cdn1,1146038
Curriculum,课程,/m/02fk8v,1145981
Source code,源代码,/m/06wpv,1145464
Buddhism,佛教,/m/092bf5,1141271
Nexus 7,Nexus 7,/m/0k0p036,1137239
Leather,皮革,/m/04lbp,1136058
Oracle Database,Oracle数据库,/m/01vw9z,1135493
New Taiwan dollar,新台币,/m/01t0lt,1135457
Test,测验,/m/01gd1c,1134182
Chinese Professional Baseball League,中华职业棒球大联盟,/m/025slwb,1133445
Directorate-General of Personnel Administration,行政院人事行政总处,/m/080lcxx,1130527
Nantou County,南投县,/m/01s6jp,1130048
Cartoon,卡通,/m/0215n,1128239
Radio broadcasting,无线电台,/m/017b6g,1126785
Mouse,鼠标,/m/020lf,1126313
Blood pressure,血压,/m/0fmq1,1125888
PlayStation Portable,PlayStation Portable,/m/02x8rd,1125507
Tianxia,天下,/m/048d7v,1124380
Major League Baseball,美国职棒大联盟,/m/09p14,1124161
Standard Mandarin,現代標準漢語,/m/0653m,1123404
Spaghetti,意大利粉,/m/0772h,1120864
Case Closed,名侦探柯南,/m/01rjw5,1119836
China Airlines,中华航空,/m/0xdl9,1119185
Dynamic-link library,动态链接库,/m/07yv9x,1117034
Mochi,麻糬 (日本),/m/012y0l,1116511
Ophthalmology,眼科学,/m/0fkdq,1115325
T'ai chi ch'uan,太极拳,/m/07k4r,1115275
Virginity,处女,/m/0mcgd,1114569
Songshan Cultural and Creative Park,松山文化创意园区,/m/0wy6b4b,1113472
Mushroom,蕈类,/m/052sf,1113230
Shampoo,洗发精,/m/0fg_n,1110881
Xindian District,新店区,/m/03srct,1109938
Penghu,澎湖县,/m/01d9gz,1107023
Transport,运输,/m/07bsy,1104984
Cascading Style Sheets,CSS,/m/015tjh,1104125
Sauna,桑拿,/m/0k0_z,1103683
Monster Hunter,怪物猎人系列,/m/065_q7h,1101762
KFC,肯德基,/m/09b6t,1099848
Wuxi,无锡市,/m/027661,1098680
Login,登入,/m/02pvq3t,1095581
National Cheng Kung University,國立成功大學,/m/01vtsf,1095140
Magic,魔法,/m/0czwj,1093883
Graduate school,研究所,/m/01yslh,1089415
Dessert,西点,/m/0270h,1088821
Ukulele,烏克麗麗,/m/07xzm,1086039
Abdomen,腹,/m/08y7p8,1084688
Special wards of Tokyo,东京,/m/01rcb4,1083489
Document,文献,/m/015bv3,1082282
Pruritus,痒,/m/04kllm9,1081898
Kiss,亲吻,/m/0db6d,1079008
Sogou Pinyin,搜狗拼音输入法,/m/04mxc4w,1078677
Linkou District,林口区,/m/055xh0,1077579
MapleStory,冒险岛,/m/04h2l3,1076454
Heaven,天国,/m/03ld5,1074948
Mattress,床垫,/m/03dg8j,1074481
Sogo,崇光百货,/m/04zfng,1073681
4G,4G,/m/02g9ds,1073099
Jewellery,珠寶,/m/0404d,1071764
Temple,神庙,/m/0cx45,1071357
Angel,天使,/m/0x6r,1069134
Middle school,初级中学,/m/01j4jl,1067419
Sun,太阳,/m/06m_p,1063766
Outlet store,暢貨中心,/m/09bgkl,1061464
