name_en,translation,mid,frequency
Short Message Service,SMS,/m/06_j_,8345140
Autumn,Осень,/m/0134l,8296985
House,Жилище,/m/03jm5,8291534
Footwear,Обувь,/m/09j5n,8237728
Mail,Почта,/m/0dh8s,8233227
Money,Деньги,/m/04_x4,8083353
Water,Вода,/m/0838f,8002092
Device driver,Драйвер,/m/02htf,7974947
Freeware,Freeware,/m/032db,7827835
Stalingrad,Сталинград,/m/0k951mn,7673858
Tank,Танк,/m/07cmd,7665832
Ukrainian Language,Украинский язык,/m/0cjk9,7662302
Kazan,Казань,/m/01cr28,7623552
AvtoVAZ,АвтоВАЗ,/m/04nbp,7609622
Masha and the Bear,Маша и Медведь,/m/0ndskfj,7499795
Interns,Интерны,/m/0bwjwty,7468805
Krasnodar,Краснодар,/m/02dw2t,7428063
Charmed - Season 2,2 сезон сериала «Зачарованные»,/m/05c0qh8,7334599
Belarus,Белоруссия,/m/0163v,7247036
Sports,Спорт,/m/06ntj,7153495
Mother,Мать,/m/0lbxz,7088301
Dnipropetrovsk,Днепропетровск,/m/03x45p,7085511
Internet forum,Веб-форум,/m/01r257,6958142
Prostitution,Проституция,/m/05zmv,6948536
iPad,iPad,/m/09rvlp4,6872424
Tablet computer,Планшетный персональный компьютер,/m/0bh9flk,6854825
Torte,Торт,/m/026pc7x,6824315
Facebook,Facebook,/m/02y1vz,6822918
Bus,Автобус,/m/01bjv,6811401
Dress,Платье,/m/01d40f,6706440
Samsung Electronics,Samsung Electronics,/m/01nn79,6705506
Chord,Аккорд,/m/01gp74,6687662
Class,Класс,/m/056cc,6683742
Novosibirsk,Новосибирск,/m/0gzyb,6634134
Dream dictionary,Сонник,/m/05pjb0,6613588
Public transport timetable,Расписание,/m/027bh4q,6611923
Suleiman the Magnificent,Сулейман I,/m/06q17,6593494
Anal sex,Анальный секс,/m/0zp7,6570850
World of Tanks,World of Tanks,/m/0c03cdz,6555018
iPhone 5,iPhone 5,/m/0gg4gh4,6509645
Life,Жизнь,/m/04nr2,6451772
Vampire,Вампиры,/m/07yjb,6424696
Skype,Skype,/m/026wfg,6414357
Diet,Диета,/m/02zkwn,6410332
Algebra,Алгебра,/m/0pmb,6387316
MP3,MP3,/m/04zc0,6359456
Fungus,Грибы,/m/03154,6350256
Windows 8,Windows 8,/m/0gvswcc,6300419
Letter,Буква,/m/09ttms,6281081
Wife,Жена,/m/025rz_f,6248776
Mod,Мод,/m/024lmx,6244753
Karpov,Карпов,/m/0ndskp3,6213843
Astana,Астана,/m/0fn08,6213395
Defense of the Ancients,DotA,/m/073pnt,6158526
Incest,Инцест,/m/03vks,6143608
Exchange rate,Валютный курс,/m/018m33,6094877
Naruto,Наруто,/m/01hryy,6071754
Sleep,Сон,/m/06xzh,6045077
Limited liability company,Общество с ограниченной ответственностью,/m/01prdc,6019835
Charmed Season 5,Зачарованные - Сезон 5,/m/04k9yj7,6000169
Calendar,Календарь,/m/01mzw,5994683
Sony Corporation,Sony,/m/06q07,5970653
Dictionary,Словарь,/m/026n0,5929210
Teacher,Учитель,/m/01d30f,5877405
Cheating in video games,Чит-код,/m/0277bn0,5873316
Kino,Кино,/m/060f1f,5847139
Dance,Танцы,/m/026bk,5828073
Design,Дизайн,/m/02cwm,5815960
Gay,Гей,/m/0d63kt,5798043
Credit,Кредит,/m/05p8s2,5792655
iOS,Apple iOS,/m/03wbl14,5789343
Eye,Глаз,/m/014sv8,5785571
Restaurant,Ресторан,/m/06l8d,5763193
Breast,Женская грудь,/m/01fpr,5754342
Fairy tale,Сказка,/m/0bxg3,5731773
Presentation,Презентация,/m/02y3rj,5701543
Flower,Цветок,/m/0c9ph5,5671357
Univer,Универ,/m/0ndsl3l,5667507
Contract,Договор,/m/0245b,5665611
Psychology,Психология,/m/05qfh,5665314
Samara,Самара,/m/0jlsq,5654860
Time,Время,/m/07c_l,5642252
MegaFon,МегаФон,/m/07pl0j,5604353
Instagram,Instagram,/m/0glpjll,5603583
Blood,Кровь,/m/019jw,5569801
Counter-Strike,Counter-Strike,/m/0233c,5563425
Drawing,Рисунок,/m/02csf,5530845
com,.com,/m/01gj0k,5516298
Mail.Ru,Mail.ru,/m/02rl6kl,5516227
Year,Год,/m/0887n,5472630
Univer. Novaya Obschaga,Универ. Новая общага,/m/0ndslgn,5468135
Clock,Часы,/m/01x3z,5458629
Adobe Photoshop,Adobe Photoshop,/m/06710,5382795
Beeline,Билайн,/m/040tf9,5371828
Food,Пища,/m/02wbm,5371067
Color,Цвет,/m/01sdr,5355759
Knitting,Вязание,/m/047fr,5277313
Grand Theft Auto V,Grand Theft Auto V,/m/0hgnzjh,5270591
Donetsk,Донецк,/m/02qbpd,5262387
Oil,Масло,/m/0bp_wy,5253288
Train,Поезд,/m/07jdr,5252859
Charmed Season 4,Зачарованные - Сезон 4,/m/04k9yj4,5244859
Physics,Физика,/m/05qjt,5243235
Tattoo,Татуировка,/m/07j2f,5160860
Weight loss,Потеря веса,/m/023s6n,5151875
Lviv,Львов,/m/0d7_n,5151830
Computer file,Файл,/m/020s1,5121297
Episode,Эпизод,/m/02cphr,5116289
Uzbek language,Узбекский язык,/m/0jfsq,5103049
Trilogy,Сериал,/m/07p_r,5097889
Wallpaper,Обои,/m/01lnt7,5097392
Renting,Аренда,/m/01y857,5095393
Laptop,Ноутбук,/m/01c648,5086104
The Vampire Diaries,Дневники вампира,/m/05sy2k_,5081565
Door,Дверь,/m/02dgv,5039210
Supernatural,Сверхъестественное,/m/06s3sm,5028744
Economy,Экономика,/m/0gfps3,5017345
Ufa,Уфа,/m/01vjg6,4933559
Television network,Телевизионный канал,/m/096wp,4929657
SB Sberbank of Russia JSC,ДБ АО «Сбербанк»,/m/0j3fq4_,4921594
Comedy,Комедия,/m/05p553,4902762
Winter,Зима,/m/086mh,4898229
Statute,Закон,/m/06n75,4874775
Biography,Биография,/m/017fp,4874060
Despicable Me,Гадкий я,/m/06zkfsy,4864705
United States of America,Соединённые Штаты Америки,/m/09c7w0,4855828
Pizza,Пицца,/m/0663v,4853309
Anime,Аниме,/m/0jxy,4850468
Advertising,Рекламный бизнес,/m/011s0,4844842
Actor,Актёр,/m/02hrh1q,4841050
New Year,Новый год,/m/05fdr,4816740
Lesbian,Лесбиянство,/m/04jjy,4815971
Hentai,Хентай,/m/03p67,4813636
Week,Неделя,/m/083sl,4807679
Wi-Fi,Wi-Fi,/m/0h4d9,4794718
Meaning,Значение,/m/0bh_zc,4786388
Son,Сын,/m/01qwbw,4782643
Lenovo,Lenovo,/m/03xvd_,4780902
Chicken,Курица,/m/09b5t,4776704
Business,Предприятие,/m/09s1f,4759161
Azerbaijan,Азербайджан,/m/0jhd,4753718
Sound,Звук,/m/06qc5,4720632
Soup,Суп,/m/01z1m1x,4715530
Tax,Налог,/m/07g82,4715331
Penis,Половой член человека,/m/070qfw,4690453
Girl,Девочка,/m/05r655,4685104
Disease,Болезнь,/m/027x3,4680488
Quotation,Цитата,/m/069dd,4677172
MTS Ukraine,МТС Украина,/m/07cbnb,4672410
Chelyabinsk,Челябинск,/m/01kg39,4662711
Nizhny Novgorod,Нижний Новгород,/m/0hclr,4661998
China,Китай,/m/0d05w3,4657295
Voronezh,Воронеж,/m/02c_fv,4655962
Animal,Животные,/m/0jbk,4646570
Society,Общество,/m/098wr,4622337
Google Maps,Google Maps,/m/055t58,4604398
Entrepreneurship,Предпринимательство,/m/02nwq,4602076
War,Война,/m/082cb,4597310
Chemistry,Химия,/m/01lj9,4582138
Real Estate,Недвижимое имущество,/m/023907r,4574845
Rostov-on-Don,Ростов-на-Дону,/m/01v15f,4570098
Winx Club,Клуб Винкс: Школа волшебниц,/m/04d5qx,4567009
Earth,Земля,/m/02j71,4565904
RIA Novosti,РИА Новости,/m/0d6h97,4553429
Nu Virgos,ВИА Гра,/m/01plwn5,4545150
Face,Лицо,/m/0dzct,4540704
Moldova,Молдавия,/m/04w4s,4539930
Hairstyle,Причёска,/m/0ds4x,4539883
HTC Corporation,High Tech Computer Corporation,/m/069b85,4533664
ASUS,ASUSTeK Computer,/m/02_39h,4529703
Zombie,Зомби,/m/089m7,4514377
Dish,Блюдо,/m/02q08p0,4507386
High-definition television,Телевидение высокой чёткости,/m/03jww,4473708
Golos,Голос,/m/0n904jx,4439293
Fish,Рыбы,/m/0ch_cf,4422189
Soviet Union,Союз Советских Социалистических Республик,/m/05vz3zq,4416485
Costume,Костюм,/m/0250x,4400554
Monster High,Школа Монстров,/m/0cnz5pd,4373424
Magazine,Журнал,/m/058sv,4368179
Pharmaceutical drug,Лекарственные средства,/m/018l35,4367595
Apple,Яблоко,/m/014j1m,4341906
Harry Potter,Гарри Поттер,/m/03647x,4340327
America's Psychic Challenge,Битва экстрасенсов,/m/03cfckp,4338615
Cinematography,Кинематограф,/m/01bt7h,4337814
Tire,Автомобильная шина,/m/0h9mv,4331787
Realnye patsany,Реальные пацаны,/m/0ndskdx,4326664
Symptom,Симптом,/m/01b_06,4308173
Velocity,Скорость,/m/07ygz,4294601
Family,Семья,/m/09dhj,4280578
Pie,Пирог,/m/0mjqn,4261481
Computer wallpaper,Обои,/m/03w43x,4244867
Halloween,Хэллоуин,/m/03lq2,4239556
Education,Образование,/m/02jfc,4221608
Aleksandr Pushkin,Александр Сергеевич Пушкин,/m/0dw6b,4220168
Geometry,Геометрия,/m/025x7g_,4213982
Microsoft Corporation,Microsoft,/m/04sv4,4201174
Fellatio,Минет,/m/02p0r36,4200269
Massage,Массаж,/m/0b_nd,4193569
Court,Суд,/m/0k05r,4186650
Omsk,Омск,/m/0gxgf,4173815
City,Город,/m/01n32,4173369
Coffee,Кофе,/m/02vqfm,4159239
Trailer,Трейлер,/m/03hdbf,4158807
Despicable Me 2,Гадкий я 2,/m/0gwn31_,4116458
Adobe Flash,Adobe Flash,/m/058b6,4112846
Krasnoyarsk,Красноярск,/m/0jhb4,4109115
Wladimir Klitschko,Владимир Владимирович Кличко,/m/021cr8,4093835
Password,Пароль,/m/0626t,4060850
Taxi,Такси,/m/0pg52,4053498
Tomsk,Томск,/m/0h3ry,4047672
Adolescence,Подросток,/m/0ldpy,4031199
Meat,Мясо,/m/04scj,4024806
Temperature,Температура,/m/07gr_,4018308
Windows XP,Windows XP,/m/085j0,4012821
University,Университет,/m/07tf8,4007518
Pain,Боль,/m/062t2,4000959
Rambler,Рамблер,/m/092lg0,3993711
Dough,Тесто,/m/01x9mn,3986693
Wholesale,Оптовая торговля,/m/0g_8n,3965501
System,Система,/m/0bj6r,3962187
Thor: The Dark World,Тор: Царство тьмы,/m/0j9knfv,3961321
World Wide Web,Всемирная паутина,/m/0828v,3951798
Samsung Galaxy,Samsung Galaxy,/m/0hnbsn3,3932030
Poetry,Поэзия,/m/05qgc,3902951
Perm,Пермь,/m/022j97,3902299
Husband,Муж,/m/025t1g1,3899297
Textbook,Учебник,/m/01lph_,3862743
Moon,Луна,/m/04wv_,3860543
Barbie,Барби,/m/015w6q,3854050
Engine,Двигатель,/m/02mk9,3847665
Mobile phone,Сотовый телефон,/m/050k8,3840182
Breaking Bad,Во все тяжкие,/m/03d34x8,3833223
Kaliningrad,Калининград,/m/049hw,3829450
Rape,Изнасилование,/m/06g5z,3815124
Menstruation,Менструация,/m/025swc8,3812868
Guitar,Гитара,/m/0342h,3809590
We're the Millers,Мы – Миллеры,/m/0lgq7_r,3808095
Nature,Природа,/m/05h0n,3807850
Literature,Литература,/m/04g51,3796151
Brown bear,Бурый медведь,/m/01dxs,3741561
The Sims,The Sims,/m/07hm9,3733831
Human tooth,Зубы человека,/m/0hz0h,3732831
iOS 7,iOS 7,/m/0vzr31p,3725908
Saratov,Саратов,/m/01lygk,3715350
Sovereign state,Государство,/m/06ztr_6,3713997
Online chat,Чат,/m/017kpc,3697511
Turkey,Турция,/m/01znc_,3695496
Volgograd,Волгоград,/m/07_h1,3685067
Kindergarten,Детский сад,/m/01ft5b,3684492
Firmware,Встроенное программное обеспечение,/m/0b8t7,3680182
Thor,Тор,/m/062zjtt,3676343
Synonym,Синонимы,/m/0hqj_,3671823
Horror,Фильм ужасов,/m/03npn,3661103
Theatre,Театр,/m/03qsdpk,3660132
Luntik,Приключения Лунтика и его друзей,/m/0bmcrql,3650681
Childbirth,Роды у человека,/m/0lc0w,3647147
Anecdote,Анекдот,/m/02dc69,3635395
Tyumen,Тюмень,/m/02f3_s,3633313
Leg,Нога человека,/m/035r7c,3627040
Fashion,Мода,/m/032tl,3614409
Philosophy,Философия,/m/037mh8,3613900
Sentence,Предложение,/m/03k6m_,3611538
BMW,BMW,/m/017yh,3611326
Error,Ошибка,/m/0b8gc,3597298
Cosmetics,Косметика,/m/014trl,3592740
TNT,ТНТ,/m/03y0g4s,3589418
Politics,Политика,/m/05qt0,3578566
Holiday,Праздник,/m/03gkl,3574300
KinoPoisk,КиноПоиск,/m/0nc86j2,3568397
Charmed Season 6,6 сезон сериала «Зачарованные»,/m/04k9yjb,3559560
Moscow Metro,Московский метрополитен,/m/0hkhn,3557922
Crochet,Вязание крючком,/m/0230w,3555401
Student,Студенты,/m/014cnc,3554696
Plant,Растения,/m/05s2s,3548174
LG Corp,LG Group,/m/04k024,3543534
Opera,Opera,/m/01z7gs,3540406
Alexander Povetkin,Александр Владимирович Поветкин,/m/03s5cc,3525705
Airport,Аэропорт,/m/09cjl,3511699
3D computer graphics,Трёхмерная графика,/m/02q4625,3510476
Biology,Биология,/m/01540,3510324
Television set,Телевизор,/m/0bx_y3w,3509424
Khabarovsk,Хабаровск,/m/0fmxx,3498775
Gmail,Gmail,/m/02q_bk,3477739
Zaporizhia,Запорожье,/m/062t3r,3475434
Hewlett-Packard,Hewlett-Packard,/m/03mnk,3463905
Number,Число,/m/05fwb,3463735
Medicine,Медицина,/m/04sh3,3463128
Nail,Ногти,/m/023j4r,3445951
Portable Document Format,Portable Document Format,/m/0600q,3435284
Nobel Prize in Physics,Нобелевская премия по физике,/m/0dt39,3407704
Raion,Район,/m/041rk3,3403330
Canon,Canon,/m/01bvx1,3400981
Ticket,Билет,/m/02py351,3400733
Daughter,Дочь,/m/029wnx,3400036
Watch,Наручные часы,/m/0gjkl,3397539
Tablet,Таблетки,/m/0kdn9,3387131
Germany,Германия,/m/0345h,3381539
Hard disk drive,Жёсткий диск,/m/03l34,3376048
Fortune-telling,Гадания,/m/0f4lp,3361569
X-Factor,X-Фактор (Украина),/m/0b76vfm,3357462
Webcam,Веб-камера,/m/0mynm,3351908
Gold,Золото,/m/025rs2z,3336729
Science,Наука,/m/06mq7,3332240
Machine,Машина,/m/0dkw5,3328130
Project,Проект,/m/0156dy,3314754
Potato,Картофель,/m/05vtc,3304183
iPhone 5s,iPhone 5s,/m/0w_ghcf,3294005
Nightclub,Ночной клуб,/m/01sg9l,3293514
Fictional film,Полнометражный фильм,/m/0604r_,3291784
Currency,Валюта,/m/01q7l,3285706
STB,СТБ,/m/02qclqm,3276870
Irkutsk,Иркутск,/m/0fp2v,3272946
Lesson,Урок,/m/0319ff,3263809
Software,Программное обеспечение,/m/01mf0,3261297
Skin,Кожа,/m/06z04,3259800
Toy,Игрушка,/m/0138tl,3252140
Culture,Культура,/m/01ws5,3246965
Desktop metaphor,Рабочий стол,/m/01yzbk,3241392
Paper,Бумага,/m/0641k,3227573
German Language,Немецкий язык,/m/04306rv,3223759
Channel One,Первый канал,/m/03twzd,3220542
Month,Месяц,/m/053jb,3218208
Microsoft Word,Microsoft Word,/m/052yv,3215452
Weapon,Оружие,/m/083kb,3213907
Steam,Steam,/m/03myz4,3207270
Milk,Молоко,/m/04zpv,3195675
Fixed-wing aircraft,Самолёт,/m/0cmf2,3195319
LEGO,LEGO,/m/04ndr,3185457
English as a second or foreign language,Международные экзамены по английскому языку,/m/0jt6_33,3181767
Mod,Моды,/m/03dmnm,3181131
Toyota Motor Corporation,Toyota,/m/07mb6,3177892
Mercedes-Benz,Mercedes-Benz,/m/052mx,3172224
Letter,Письмо (сообщение),/m/04jjh,3170813
PHP,PHP,/m/060kv,3167510
Wikipedia,Википедия,/m/0d07ph,3143450
Newspaper,Газеты,/m/05jnl,3141668
Calculator,Калькулятор,/m/024d2,3140465
Birth,Рождение,/m/0lbzq,3138904
Death,Смерть,/m/0294j,3138170
Neonate,Новорождённый,/m/0vzt6km,3133822
Europe,Европа,/m/02j9z,3095942
Dating,Свидание,/m/02px0wr,3085098
Star,Звезда,/m/06ngk,3080817
Riddle,Загадка,/m/01np1l,3078564
Twitter,Twitter,/m/0289n8t,3065053
Combat,Бой,/m/0byj4,3060442
Internet radio,Интернет-радио,/m/0drkk,3059602
Gift,Подарок,/m/0d84n,3057543
Mask,Маска,/m/01kr41,3057228
Zoophilia,Зоофилия,/m/089mr,3050924
Dota 2,Dota 2,/m/0dlkwn1,3048883
Car tuning,Тюнинг автомобиля,/m/03fdbx,3043937
Sochi,Сочи,/m/0m465,3036414
Motorcycle,Мотоцикл,/m/04_sv,3026579
Geography,География,/m/034ns,3025341
Function,Функция,/m/02v_93z,3013274
Art,Искусство,/m/0jjw,2982268
Computer network,Компьютерная сеть,/m/025szts,2973585
Domain Name System,DNS,/m/029zm,2969024
Vladivostok,Владивосток,/m/0fd_x,2964463
Backing track,Минусовка,/m/0267cxv,2961353
Document,Документ,/m/015bv3,2960946
Semen,Сперма,/m/0744p,2957830
Java,Java,/m/07sbkfb,2957012
Tree,Дерево,/m/07j7r,2955979
Renault,Renault,/m/015k42,2952869
Vitamin,Витамины,/m/07zry,2952315
Adobe Systems,Adobe Systems,/m/0vlf,2935919
United States Dollar,Доллар США,/m/09nqf,2931380
Rose,Шиповник,/m/06m11,2928347
Google Chrome,Google Chrome,/m/04j7cyf,2911291
Japan,Япония,/m/03_3d,2907353
Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,/m/02hk9c,2895919
GOST,Государственный стандарт,/m/07r0j5,2894670
SpongeBob SquarePants,Губка Боб Квадратные Штаны,/m/07vqnc,2892708
The Highway Code,Правила дорожного движения,/m/01mvkf,2885964
November,Ноябрь,/m/05cw8,2884817
Wine,Вино,/m/081qc,2884592
Camera,Фотоаппарат,/m/0dv5r,2880275
Jacket,Куртка,/m/032b3c,2869477
Orgasm,Оргазм,/m/05n5y,2863532
Concept,Понятие,/m/0203b,2861066
Theory,Теория,/m/07kk5,2858503
Visa,Виза,/m/01wtrk,2857177
Fifty Shades of Grey,Пятьдесят оттенков серого,/m/0j64xyy,2842364
Chevrolet,Chevrolet,/m/09xzd,2830072
Xbox 360,Xbox 360,/m/02plp2,2822090
Reading,Чтение,/m/04yclrg,2802836
Microsoft Office,Microsoft Office,/m/052zb,2800043
Russian Railways,Российские железные дороги,/m/0dx7sx,2799926
Physical fitness,Фитнес,/m/027x7n,2799417
Gas,Газ,/m/037xy,2798422
Market,Рынок,/m/09y4pm,2788036
Physician,Врач,/m/05t4q,2782698
Main Directorate for Road Traffic Safety,Департамент обеспечения безопасности дорожного движения МВД России,/m/027hvfl,2777969
Physical exercise,Физические упражнения,/m/019w6h,2773080
Handbag,Сумка,/m/080hkjn,2769948
Abstract,Реферат,/m/02ppws,2769435
FIFA,FIFA,/m/02_js1,2768051
USB flash drive,USB флеш-накопитель,/m/023s_v,2766241
C++,C++,/m/0jgqg,2757172
Ukraine national football team,Сборная Украины по футболу,/m/03ytp3,2752057
Azerbaijani language,Азербайджанский язык,/m/01bcw_,2750100
Sushi,Суши,/m/07030,2748446
Boxing,Бокс,/m/01cgz,2745053
Pornographic actor,Порноактеры,/m/0g7nc,2743703
Heart,Сердце,/m/095_n,2741235
Work of art,Произведение искусства,/m/07ppk6,2738180
Ubuntu,Ubuntu,/m/03x5qm,2731504
Pharmacy,Аптека,/m/01rfps,2722797
Weather forecasting,Прогноз погоды,/m/0jp7j,2721194
Class,Класс,/m/0gqpg,2718955
Stalingrad,Сталинград,/m/040s2y,2716244
Mass,Масса,/m/04t9l,2706905
Liver,Печень,/m/04p8w,2705058
Soundtrack,Саундтрек,/m/0l14gg,2703402
Café,Кафе,/m/025s4nn,2698291
Manufacturing,Производство,/m/09t4t,2694230
Racing video game,Автосимулятор,/m/01sjng,2688312
Tanki Online,Танки Онлайн,/m/07s84qp,2685002
The Walking Dead,Ходячие мертвецы,/m/0c3xpwy,2681899
Management,Менеджмент,/m/04_tv,2680543
Tomato,Томат,/m/07j87,2671269
Fur clothing,Шуба,/m/07c97b,2666881
PrivatBank,ПриватБанк,/m/0cgwr3,2666460
Riddick,Риддик,/m/034qdw,2663306
Lunar calendar,Лунный календарь,/m/04nh2,2663003
Learning,Обучение,/m/0191f8,2661970
Armenia,Армения,/m/0jgx,2658990
Italy,Италия,/m/03rjj,2651017
Harry Potter film series,Гарри Поттер (серия фильмов),/m/02676m4,2650701
Rapid transit,Метрополитен,/m/0195fx,2646080
Protein,Белки,/m/05wvs,2644135
Calorie,Калория,/m/01wv2,2639734
Uzbekistan,Узбекистан,/m/07t_x,2625879
Izhevsk,Ижевск,/m/0nk2k,2625378
Grand Theft Auto IV,Grand Theft Auto IV,/m/0722qs,2615918
Curriculum vitae,Резюме,/m/07kgs9_,2611550
Game of Thrones,Игра престолов,/m/0524b41,2611159
Father,Отец,/m/0lbxg,2606508
iPhone 4,iPhone 4,/m/0c0bg9c,2605718
India,Индия,/m/03rk0,2603167
Sea,Море,/m/06npx,2599569
Short story,Новелла,/m/0707q,2598201
Elektrichka,Электропоезд,/m/08pqz7,2595094
NTV,НТВ,/m/03xxvd,2583943
Sauces,Соус,/m/0grqz,2582063
Kazakh Language,Казахский язык,/m/0jfs6,2579780
Recreation,Отдых,/m/06bm2,2579717
Plastic,Пластмассы,/m/05z87,2577509
Hospital,Больница,/m/0hpnr,2576451
Vegetable,Овощи,/m/0f4s2w,2570580
Uzbeks,Узбеки,/m/07xns,2564195
Simferopol,Симферополь,/m/0310wb,2561074
Accumulator,Электрический аккумулятор,/m/09t4km,2556887
Company,Коммерческая организация,/m/03bxgrp,2556701
Window,Окно,/m/0d4v4,2555727
WhatsApp,WhatsApp,/m/0gwzvs1,2554775
FictionBook,FictionBook,/m/0c_c49,2549823
University college,Высшее учебное заведение,/m/01frx5,2546116
Divan,Диван,/m/0dsbf_,2544978
USB,USB,/m/07wcf,2543693
Fédération Internationale de Football Association,ФИФА,/m/02zm3,2532599
Information,Информация,/m/03y39,2531584
Svaty,Сваты,/m/0ndsl10,2527218
Manga,Манга,/m/04spm,2512610
Fishing,Рыбалка,/m/094jc,2506996
Equation,Уравнение,/m/02jnw,2499430
Masturbation,Мастурбация,/m/051pp,2499348
Orenburg,Оренбург,/m/02fxjq,2490635
Tea,Чай,/m/07clx,2487047
Syria,Сирия,/m/06vbd,2485421
Shopping mall,Торговый центр,/m/025s8bs,2485253
Sex,Пол организмов,/m/06ng1,2484757
Vladimir Putin,Владимир Владимирович Путин,/m/08193,2483943
